0,1,2,3,4,5,6,7,8,9,10
bottled water,other vegetables,spread cheese,yogurt,specialty bar,,,,,,
bottled water,whipped/sour cream,berries,whole milk,,,,,,,
beef,pastry,,,,,,,,,
tropical fruit,chocolate,,,,,,,,,
margarine,frozen meals,dish cleaner,yogurt,,,,,,,
rolls/buns,specialty chocolate,,,,,,,,,
canned beer,photo/film,,,,,,,,,
butter,soft cheese,,,,,,,,,
canned beer,other vegetables,yogurt,,,,,,,,
beef,canned beer,margarine,,,,,,,,
pip fruit,turkey,,,,,,,,,
rolls/buns,canned beer,brown bread,dessert,,,,,,,
meat,ice cream,,,,,,,,,
candy,cake bar,,,,,,,,,
chocolate,cat food,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
brandy,whole milk,whole milk,bottled water,,,,,,,
domestic eggs,mayonnaise,coffee,,,,,,,,
other vegetables,newspapers,,,,,,,,,
ready soups,pastry,,,,,,,,,
whipped/sour cream,white bread,,,,,,,,,
soda,brown bread,,,,,,,,,
canned beer,pip fruit,,,,,,,,,
waffles,shopping bags,soda,cream cheese ,,,,,,,
citrus fruit,herbs,,,,,,,,,
pip fruit,cat food,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
specialty bar,soda,,,,,,,,,
chicken,domestic eggs,,,,,,,,,
softener,salty snack,,,,,,,,,
misc. beverages,dessert,spread cheese,onions,coffee,,,,,,
other vegetables,UHT-milk,,,,,,,,,
sliced cheese,root vegetables,whipped/sour cream,,,,,,,,
ham,whipped/sour cream,,,,,,,,,
frankfurter,beef,,,,,,,,,
beef,root vegetables,,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
pork,pip fruit,,,,,,,,,
sugar,fruit/vegetable juice,margarine,,,,,,,,
tropical fruit,pork,coffee,canned beer,shopping bags,chocolate,,,,,
hamburger meat,white wine,,,,,,,,,
rolls/buns,sausage,curd,whole milk,butter milk,margarine,white bread,yogurt,,,
whipped/sour cream,newspapers,,,,,,,,,
brown bread,butter milk,,,,,,,,,
pork,herbs,,,,,,,,,
frozen vegetables,bottled beer,soda,rolls/buns,,,,,,,
frankfurter,bottled water,,,,,,,,,
dish cleaner,grapes,ketchup,,,,,,,,
pastry,baking powder,mustard,,,,,,,,
frozen vegetables,bottled beer,,,,,,,,,
onions,tropical fruit,shopping bags,other vegetables,,,,,,,
frankfurter,soda,,,,,,,,,
curd,long life bakery product,,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
UHT-milk,whole milk,herbs,,,,,,,,
root vegetables,candles,,,,,,,,,
domestic eggs,butter,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
pastry,fruit/vegetable juice,,,,,,,,,
frankfurter,citrus fruit,,,,,,,,,
waffles,whole milk,,,,,,,,,
beverages,red/blush wine,,,,,,,,,
frozen vegetables,coffee,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
other vegetables,rolls/buns,onions,whole milk,,,,,,,
meat,canned beer,,,,,,,,,
onions,candy,,,,,,,,,
dessert,whole milk,,,,,,,,,
other vegetables,cereals,,,,,,,,,
chocolate,margarine,bottled water,soda,,,,,,,
pastry,dish cleaner,,,,,,,,,
shopping bags,detergent,,,,,,,,,
whole milk,frozen vegetables,semi-finished bread,,,,,,,,
meat,other vegetables,chewing gum,,,,,,,,
yogurt,dessert,,,,,,,,,
zwieback,salty snack,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
fish,fruit/vegetable juice,,,,,,,,,
frankfurter,soda,other vegetables,rolls/buns,rolls/buns,,,,,,
margarine,other vegetables,bottled water,meat spreads,,,,,,,
frankfurter,pastry,salt,,,,,,,,
liquor,rolls/buns,frozen meals,,,,,,,,
tropical fruit,curd,,,,,,,,,
ham,bottled water,,,,,,,,,
curd,brown bread,,,,,,,,,
other vegetables,misc. beverages,,,,,,,,,
bottled water,brown bread,,,,,,,,,
UHT-milk,cooking chocolate,,,,,,,,,
frankfurter,seasonal products,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
white bread,pickled vegetables,,,,,,,,,
sausage,pastry,,,,,,,,,
domestic eggs,other vegetables,soda,,,,,,,,
chicken,yogurt,,,,,,,,,
white bread,root vegetables,,,,,,,,,
pet care,beef,,,,,,,,,
domestic eggs,canned beer,bottled water,waffles,,,,,,,
other vegetables,yogurt,whole milk,spread cheese,,,,,,,
chicken,pastry,whole milk,pip fruit,soda,margarine,candy,,,,
ham,pastry,,,,,,,,,
baking powder,canned beer,specialty chocolate,,,,,,,,
citrus fruit,canned beer,waffles,chocolate,dish cleaner,,,,,,
frozen vegetables,dishes,root vegetables,pastry,,,,,,,
curd,bottled water,tropical fruit,other vegetables,,,,,,,
sausage,beef,salty snack,,,,,,,,
spread cheese,soda,,,,,,,,,
coffee,domestic eggs,,,,,,,,,
pastry,shopping bags,,,,,,,,,
citrus fruit,butter,,,,,,,,,
turkey,white bread,,,,,,,,,
whipped/sour cream,UHT-milk,fruit/vegetable juice,,,,,,,,
misc. beverages,pip fruit,,,,,,,,,
whole milk,hair spray,waffles,,,,,,,,
frozen meals,root vegetables,cat food,,,,,,,,
condensed milk,butter,,,,,,,,,
pasta,brown bread,beef,long life bakery product,citrus fruit,whipped/sour cream,specialty cheese,frozen vegetables,,,
pastry,other vegetables,,,,,,,,,
tropical fruit,cake bar,soda,cat food,,,,,,,
chicken,pork,brandy,,,,,,,,
pork,canned beer,whole milk,rolls/buns,,,,,,,
detergent,fruit/vegetable juice,,,,,,,,,
pork,cream cheese ,,,,,,,,,
grapes,long life bakery product,,,,,,,,,
tropical fruit,dessert,,,,,,,,,
ham,soda,,,,,,,,,
whole milk,butter,,,,,,,,,
sausage,white bread,,,,,,,,,
other vegetables,dishes,,,,,,,,,
pork,napkins,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
ham,tropical fruit,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
curd,soda,shopping bags,,,,,,,,
chocolate,baking powder,,,,,,,,,
rolls/buns,bottled water,other vegetables,finished products,other vegetables,butter,yogurt,rolls/buns,citrus fruit,,
waffles,instant coffee,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
dessert,brown bread,,,,,,,,,
yogurt,curd,pastry,,,,,,,,
domestic eggs,specialty bar,,,,,,,,,
soda,yogurt,,,,,,,,,
citrus fruit,soda,,,,,,,,,
baking powder,liqueur,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
whole milk,dog food,,,,,,,,,
citrus fruit,hamburger meat,rolls/buns,,,,,,,,
frankfurter,beef,,,,,,,,,
chewing gum,coffee,margarine,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
rolls/buns,soda,shopping bags,,,,,,,,
bottled water,butter milk,,,,,,,,,
hamburger meat,salty snack,shopping bags,,,,,,,,
bottled water,other vegetables,,,,,,,,,
rolls/buns,cereals,,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
ice cream,specialty chocolate,semi-finished bread,,,,,,,,
yogurt,frozen vegetables,waffles,,,,,,,,
canned fish,white bread,,,,,,,,,
tropical fruit,detergent,,,,,,,,,
tropical fruit,butter,hamburger meat,rolls/buns,soda,shopping bags,,,,,
whole milk,newspapers,,,,,,,,,
curd,dessert,,,,,,,,,
other vegetables,cake bar,,,,,,,,,
beef,whole milk,newspapers,,,,,,,,
whole milk,cream cheese ,semi-finished bread,,,,,,,,
bottled water,pip fruit,frozen vegetables,,,,,,,,
pip fruit,whole milk,,,,,,,,,
rolls/buns,hamburger meat,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
sausage,sliced cheese,yogurt,pastry,hygiene articles,,,,,,
bottled beer,frozen meals,,,,,,,,,
margarine,canned vegetables,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
finished products,liquor,,,,,,,,,
pork,herbs,,,,,,,,,
hamburger meat,pastry,cereals,,,,,,,,
sausage,pip fruit,bottled water,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
pastry,soft cheese,,,,,,,,,
pork,specialty bar,,,,,,,,,
bottled water,whole milk,rolls/buns,,,,,,,,
sausage,flour,,,,,,,,,
canned beer,newspapers,shopping bags,,,,,,,,
beef,mayonnaise,,,,,,,,,
brown bread,curd,,,,,,,,,
tropical fruit,yogurt,brown bread,shopping bags,,,,,,,
oil,whole milk,,,,,,,,,
other vegetables,candy,,,,,,,,,
hamburger meat,salty snack,,,,,,,,,
canned beer,semi-finished bread,,,,,,,,,
butter,whole milk,,,,,,,,,
citrus fruit,tropical fruit,soda,bottled water,,,,,,,
turkey,packaged fruit/vegetables,,,,,,,,,
soda,cream cheese ,,,,,,,,,
chicken,herbs,soda,,,,,,,,
UHT-milk,cream cheese ,,,,,,,,,
UHT-milk,cream cheese ,cream cheese ,waffles,,,,,,,
root vegetables,specialty chocolate,frozen vegetables,canned beer,frozen fish,,,,,,
soft cheese,coffee,,,,,,,,,
hygiene articles,bottled water,candy,,,,,,,,
whole milk,cat food,,,,,,,,,
bottled beer,rolls/buns,soda,,,,,,,,
brown bread,napkins,,,,,,,,,
pastry,ketchup,,,,,,,,,
rolls/buns,butter milk,,,,,,,,,
sausage,whole milk,,,,,,,,,
canned fruit,newspapers,,,,,,,,,
cereals,frozen vegetables,,,,,,,,,
frankfurter,dishes,rolls/buns,,,,,,,,
white bread,bottled water,,,,,,,,,
citrus fruit,yogurt,UHT-milk,,,,,,,,
whipped/sour cream,whole milk,,,,,,,,,
whipped/sour cream,pastry,,,,,,,,,
other vegetables,hard cheese,liquor,brown bread,,,,,,,
rolls/buns,liquor (appetizer),,,,,,,,,
other vegetables,napkins,,,,,,,,,
sausage,onions,,,,,,,,,
other vegetables,specialty bar,,,,,,,,,
soda,margarine,,,,,,,,,
root vegetables,grapes,,,,,,,,,
cereals,newspapers,,,,,,,,,
brown bread,tropical fruit,berries,berries,,,,,,,
pork,hamburger meat,,,,,,,,,
soda,whole milk,,,,,,,,,
chewing gum,cake bar,,,,,,,,,
root vegetables,butter,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
nuts/prunes,butter,brown bread,,,,,,,,
specialty chocolate,beverages,,,,,,,,,
whipped/sour cream,frozen vegetables,,,,,,,,,
syrup,whole milk,,,,,,,,,
butter milk,bottled beer,,,,,,,,,
chicken,yogurt,rolls/buns,,,,,,,,
pork,frozen meals,margarine,dessert,,,,,,,
bottled beer,frozen vegetables,,,,,,,,,
sausage,baking powder,,,,,,,,,
beef,frozen fish,whole milk,,,,,,,,
whole milk,hamburger meat,roll products ,,,,,,,,
onions,root vegetables,soap,cream cheese ,,,,,,,
newspapers,margarine,,,,,,,,,
instant coffee,sparkling wine,,,,,,,,,
tropical fruit,curd,brown bread,pastry,,,,,,,
frankfurter,sausage,packaged fruit/vegetables,yogurt,bottled beer,shopping bags,,,,,
potato products,pip fruit,,,,,,,,,
chicken,root vegetables,yogurt,,,,,,,,
sausage,bottled beer,,,,,,,,,
whole milk,condensed milk,,,,,,,,,
rolls/buns,brown bread,rolls/buns,sliced cheese,,,,,,,
root vegetables,napkins,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
pastry,whole milk,,,,,,,,,
root vegetables,frozen vegetables,misc. beverages,,,,,,,,
citrus fruit,chocolate,,,,,,,,,
tropical fruit,ice cream,,,,,,,,,
soups,sugar,seasonal products,bottled beer,,,,,,,
baking powder,hair spray,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
rolls/buns,yogurt,sugar,,,,,,,,
fruit/vegetable juice,sausage,whole milk,pip fruit,,,,,,,
butter milk,zwieback,pot plants,,,,,,,,
tropical fruit,syrup,whole milk,,,,,,,,
dog food,coffee,seasonal products,,,,,,,,
butter,berries,cereals,,,,,,,,
beef,canned beer,,,,,,,,,
nuts/prunes,canned beer,other vegetables,shopping bags,,,,,,,
dessert,frozen vegetables,,,,,,,,,
citrus fruit,yogurt,salt,,,,,,,,
brown bread,ice cream,fruit/vegetable juice,,,,,,,,
rolls/buns,soda,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
citrus fruit,berries,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
pork,other vegetables,,,,,,,,,
curd,shopping bags,,,,,,,,,
frankfurter,butter,mustard,,,,,,,,
butter,candy,,,,,,,,,
semi-finished bread,ketchup,,,,,,,,,
sausage,rolls/buns,misc. beverages,processed cheese,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
pork,margarine,,,,,,,,,
dishes,butter milk,,,,,,,,,
berries,rolls/buns,,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
cream cheese ,whole milk,,,,,,,,,
yogurt,rice,butter,,,,,,,,
pip fruit,cereals,,,,,,,,,
oil,margarine,,,,,,,,,
canned beer,root vegetables,,,,,,,,,
white wine,whole milk,,,,,,,,,
rolls/buns,pastry,,,,,,,,,
specialty fat,liquor (appetizer),,,,,,,,,
shopping bags,fruit/vegetable juice,,,,,,,,,
shopping bags,other vegetables,newspapers,domestic eggs,,,,,,,
rolls/buns,hygiene articles,,,,,,,,,
snack products,soups,,,,,,,,,
curd,spices,frozen fish,,,,,,,,
canned beer,detergent,cake bar,,,,,,,,
other vegetables,soda,,,,,,,,,
hamburger meat,chewing gum,,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
brown bread,sugar,,,,,,,,,
sausage,whole milk,,,,,,,,,
sausage,rum,,,,,,,,,
chicken,canned beer,,,,,,,,,
root vegetables,yogurt,sparkling wine,,,,,,,,
sausage,specialty chocolate,bottled water,baking powder,,,,,,,
pastry,root vegetables,,,,,,,,,
pork,fruit/vegetable juice,,,,,,,,,
specialty chocolate,chewing gum,,,,,,,,,
frozen meals,dessert,,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
whole milk,napkins,flour,,,,,,,,
sliced cheese,liquor,hygiene articles,,,,,,,,
curd,other vegetables,,,,,,,,,
coffee,dessert,,,,,,,,,
whole milk,domestic eggs,canned vegetables,flower (seeds),,,,,,,
rolls/buns,cat food,beverages,,,,,,,,
soda,shopping bags,,,,,,,,,
canned beer,bottled water,,,,,,,,,
cream cheese ,UHT-milk,,,,,,,,,
citrus fruit,frozen vegetables,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
canned beer,shopping bags,rolls/buns,yogurt,butter milk,,,,,,
root vegetables,snack products,,,,,,,,,
turkey,root vegetables,frozen meals,soda,spread cheese,,,,,,
flour,baking powder,,,,,,,,,
whipped/sour cream,hygiene articles,,,,,,,,,
flour,grapes,frankfurter,bottled beer,citrus fruit,grapes,other vegetables,cat food,frozen vegetables,,
ham,curd,,,,,,,,,
pork,whole milk,,,,,,,,,
frankfurter,citrus fruit,yogurt,frozen vegetables,,,,,,,
soap,candy,,,,,,,,,
canned beer,ready soups,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
bottled water,curd,semi-finished bread,,,,,,,,
butter,cleaner,red/blush wine,,,,,,,,
beef,rolls/buns,seasonal products,,,,,,,,
pip fruit,UHT-milk,,,,,,,,,
whole milk,soda,bottled water,pastry,,,,,,,
pip fruit,other vegetables,,,,,,,,,
berries,newspapers,,,,,,,,,
sausage,dog food,,,,,,,,,
fruit/vegetable juice,herbs,dishes,,,,,,,,
newspapers,pastry,,,,,,,,,
long life bakery product,brown bread,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
pip fruit,ice cream,popcorn,soda,bottled water,rolls/buns,,,,,
pork,cake bar,,,,,,,,,
other vegetables,whole milk,light bulbs,canned beer,,,,,,,
tropical fruit,whipped/sour cream,hygiene articles,,,,,,,,
pork,pastry,,,,,,,,,
citrus fruit,yogurt,soda,,,,,,,,
chicken,bottled beer,soda,domestic eggs,other vegetables,,,,,,
soda,yogurt,,,,,,,,,
butter,photo/film,,,,,,,,,
other vegetables,rolls/buns,root vegetables,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
whipped/sour cream,brown bread,,,,,,,,,
specialty cheese,yogurt,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
root vegetables,sweet spreads,,,,,,,,,
hard cheese,other vegetables,whole milk,zwieback,,,,,,,
pork,other vegetables,,,,,,,,,
chicken,bottled water,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
mustard,brown bread,,,,,,,,,
onions,tropical fruit,,,,,,,,,
bottled beer,herbs,curd,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
house keeping products,domestic eggs,,,,,,,,,
other vegetables,cooking chocolate,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
bottled beer,shopping bags,,,,,,,,,
tropical fruit,coffee,red/blush wine,,,,,,,,
pork,rum,,,,,,,,,
sausage,shopping bags,,,,,,,,,
root vegetables,other vegetables,whole milk,frozen meals,,,,,,,
beverages,pastry,,,,,,,,,
whole milk,newspapers,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
whipped/sour cream,house keeping products,,,,,,,,,
liver loaf,rolls/buns,,,,,,,,,
frankfurter,frozen potato products,newspapers,softener,abrasive cleaner,,,,,,
bottled water,chewing gum,,,,,,,,,
pork,soda,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
other vegetables,dessert,,,,,,,,,
pork,specialty chocolate,,,,,,,,,
candles,chewing gum,,,,,,,,,
bottled water,cream cheese ,bottled beer,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
hygiene articles,semi-finished bread,,,,,,,,,
beverages,root vegetables,frozen meals,,,,,,,,
frankfurter,chicken,butter,bottled water,,,,,,,
beef,onions,,,,,,,,,
frankfurter,rolls/buns,rolls/buns,,,,,,,,
cocoa drinks,bottled water,sweet spreads,,,,,,,,
pip fruit,sausage,red/blush wine,coffee,salt,pastry,,,,,
citrus fruit,semi-finished bread,yogurt,,,,,,,,
butter,butter,margarine,,,,,,,,
bottled beer,bottled water,,,,,,,,,
canned beer,canned beer,,,,,,,,,
chicken,pip fruit,,,,,,,,,
root vegetables,soups,,,,,,,,,
yogurt,soda,,,,,,,,,
pip fruit,pickled vegetables,,,,,,,,,
soda,bottled water,house keeping products,,,,,,,,
domestic eggs,whole milk,artif. sweetener,,,,,,,,
pip fruit,whole milk,whole milk,,,,,,,,
chicken,onions,,,,,,,,,
pip fruit,other vegetables,coffee,,,,,,,,
pip fruit,whole milk,bottled water,,,,,,,,
long life bakery product,brown bread,,,,,,,,,
chicken,whole milk,,,,,,,,,
chicken,butter,rolls/buns,shopping bags,soda,,,,,,
hamburger meat,soft cheese,,,,,,,,,
citrus fruit,frozen meals,,,,,,,,,
frankfurter,root vegetables,yogurt,whole milk,,,,,,,
other vegetables,shopping bags,shopping bags,,,,,,,,
tropical fruit,whipped/sour cream,canned vegetables,,,,,,,,
sausage,butter,bottled water,,,,,,,,
yogurt,shopping bags,,,,,,,,,
soda,domestic eggs,artif. sweetener,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
brown bread,frozen vegetables,,,,,,,,,
hamburger meat,chicken,,,,,,,,,
other vegetables,dishes,,,,,,,,,
onions,cat food,white wine,,,,,,,,
chicken,whole milk,snack products,,,,,,,,
sausage,cream cheese ,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
pet care,mustard,,,,,,,,,
root vegetables,mustard,,,,,,,,,
root vegetables,margarine,rolls/buns,,,,,,,,
citrus fruit,butter,chocolate,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
pork,yogurt,,,,,,,,,
tropical fruit,soda,canned beer,,,,,,,,
hamburger meat,cream cheese ,,,,,,,,,
other vegetables,yogurt,salty snack,,,,,,,,
sausage,beverages,,,,,,,,,
yogurt,pastry,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
curd,curd,rolls/buns,,,,,,,,
canned beer,specialty bar,,,,,,,,,
root vegetables,pastry,,,,,,,,,
napkins,photo/film,dessert,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
ice cream,pasta,,,,,,,,,
oil,coffee,,,,,,,,,
specialty fat,red/blush wine,,,,,,,,,
white wine,rolls/buns,,,,,,,,,
pip fruit,specialty bar,long life bakery product,,,,,,,,
beef,yogurt,,,,,,,,,
soda,root vegetables,rolls/buns,,,,,,,,
sausage,root vegetables,,,,,,,,,
pastry,coffee,newspapers,,,,,,,,
oil,chewing gum,,,,,,,,,
tropical fruit,berries,other vegetables,yogurt,kitchen towels,napkins,,,,,
sausage,long life bakery product,,,,,,,,,
hard cheese,bottled water,,,,,,,,,
whole milk,pip fruit,whipped/sour cream,,,,,,,,
hygiene articles,dessert,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
pip fruit,newspapers,,,,,,,,,
margarine,rolls/buns,,,,,,,,,
napkins,waffles,,,,,,,,,
root vegetables,sugar,bottled water,white bread,,,,,,,
soda,soda,,,,,,,,,
soda,butter,other vegetables,margarine,,,,,,,
other vegetables,butter,,,,,,,,,
frozen meals,citrus fruit,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
rolls/buns,tropical fruit,bottled beer,UHT-milk,newspapers,,,,,,
curd cheese,pastry,,,,,,,,,
pork,onions,,,,,,,,,
sausage,specialty cheese,,,,,,,,,
grapes,soda,other vegetables,,,,,,,,
chicken,butter,,,,,,,,,
rolls/buns,white bread,,,,,,,,,
whole milk,beverages,frozen fruits,fruit/vegetable juice,,,,,,,
citrus fruit,butter milk,,,,,,,,,
chicken,dishes,,,,,,,,,
salt,ice cream,yogurt,canned beer,,,,,,,
frozen vegetables,rice,,,,,,,,,
domestic eggs,dessert,,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
pip fruit,pastry,,,,,,,,,
ham,instant coffee,margarine,beef,long life bakery product,whole milk,house keeping products,semi-finished bread,,,
frankfurter,soft cheese,mustard,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
white bread,flour,,,,,,,,,
grapes,whole milk,,,,,,,,,
margarine,domestic eggs,,,,,,,,,
specialty bar,chocolate,packaged fruit/vegetables,domestic eggs,cream cheese ,,,,,,
sausage,cat food,,,,,,,,,
pork,butter,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
root vegetables,detergent,,,,,,,,,
photo/film,pork,liquor,,,,,,,,
finished products,whole milk,,,,,,,,,
domestic eggs,roll products ,,,,,,,,,
cream cheese ,yogurt,newspapers,detergent,,,,,,,
pasta,shopping bags,,,,,,,,,
butter,other vegetables,,,,,,,,,
root vegetables,butter milk,,,,,,,,,
whole milk,whole milk,,,,,,,,,
other vegetables,soda,,,,,,,,,
pip fruit,coffee,,,,,,,,,
liquor (appetizer),rolls/buns,yogurt,,,,,,,,
bottled beer,whole milk,shopping bags,,,,,,,,
canned beer,other vegetables,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
citrus fruit,domestic eggs,,,,,,,,,
pip fruit,tropical fruit,,,,,,,,,
seasonal products,soups,,,,,,,,,
frankfurter,other vegetables,fruit/vegetable juice,,,,,,,,
